,title,price,link
0,"Dell Inspiron 3535, AMD Ryzen 3
                                        7320U Processor, (8GB RAM/512GB SSD/Window 11/MS Office' 21/15.6""(39.62 cm) FHD
                                        Display/15 Month McAfee/Carbon Black/1.67kg Thin & Light Laptop 
","29,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Nzg1MzY0MjUwNDM5NzU4OjE3Mjg4Mzk2OTI6c3BfYXRmOjMwMDM0NzgyMDMxMzUzMjo6MDo6&url=%2FDell-Inspiron-Processor-Window-Display%2Fdp%2FB0DG5CY2Y2%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1728839692%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Lenovo [Smart Choice Ideapad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62Cm) Fhd IPS 300Nits 144Hz (8Gb/512Gb Ssd/Win11/Nvidia RTX 2050 4Gb/Alexa/3 Month Game Pass/Shadow Black/2.32Kg),82K20289In  ","45,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1OTA1NzI5NDQ4NDc4NTMxOjE3Mjg4Mzk2OTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEwMzE0MzgxODQzMjo6NDo6&url=%2FLenovo-IdeaPad-39-62cm-300nits-82K20289IN%2Fdp%2FB0CL5L59Z9%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26cv_ct_cx%3Dlaptops%26dib%3DeyJ2IjoiMSJ9.bV0OaW_UXK9vTqq6IBygoyBjbxmBh84DBSGkxrfIeujqdoSafrNHViwk1ZLRakI1OQf7SMJZkOSr2RPLCTuVgg.Qe0ODHeKjYjvwh2k4dmoTmjJDGLEhuit90jqawVvKbk%26dib_tag%3Dse%26keywords%3Dlaptops%26pd_rd_i%3DB0CL5L59Z9%26pd_rd_r%3D6c20d7e0-6b40-4039-bc95-ab8a43e38dda%26pd_rd_w%3D3PVTQ%26pd_rd_wg%3DhQgVo%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3D3TRYRECWR7RJ2YMWND7K%26qid%3D1728839692%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
2,"Lenovo V14 G3 Laptop (Intel Core i5/ 12th Gen/ 8GB RAM/ 512GB SSD/DOS/ 14"" Inch), Arctic Grey, 1 Year Service Center Carry in Warranty  ","35,440",https://amazon.in//Lenovo-Laptop-Arctic-Service-Warranty/dp/B0DG9CKJ9P/ref=sr_1_62?dib=eyJ2IjoiMSJ9.wh2GrRiEOk7CQBve5YYcwT-2k1Kun0F1DC8O2UTquaUIq9K2R-Z8iYx9k7q0_YbHSaHAF7xzPfhM_keGnOxgApqTYSdvxYXT3e7ID9-x7blC6RkVb_JzmJ9PmKCv-2fS1fkGrBdyVWQKqQXrJCU20vsedOYWJ1PEJi3SbbG5zcNyJLC9thJ8o9G9xqpI5PObIN6HPKm9XQ-uCyhnl4OlwSVbfWfCYDQ2jyV39Em2szc.2jnlo6SkgV4cnGO-P7rIydDkFBAF7jOkKqQa2ALduA8&dib_tag=se&keywords=laptops&qid=1728839706&sr=8-62
3,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","20,819",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-6
4,"Acer Aspire Lite 13th Gen Intel
                                        Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB
                                        SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel
                                        Gray, 1.59 KG  ","31,990",https://amazon.in//Acer-i3-1305U-Premium-Windows-AL15-53/dp/B0DB1SDB87/ref=sr_1_7?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-7
5,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop  ","33,990",https://amazon.in//Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-8
6,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","27,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-9
7,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU  ","40,990",https://amazon.in//HP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU/dp/B0B4N77Y34/ref=sr_1_10?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-10
8,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UCX-1696IN  ","44,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Nzg1MzY0MjUwNDM5NzU4OjE3Mjg4Mzk2OTI6c3BfbXRmOjMwMDM0MTk2OTg4MDIzMjo6MDo6&url=%2FMSI-i5-12450H-Windows-GeForce-B12UCX-1696IN%2Fdp%2FB0CV9S9VTM%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1728839692%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
9,"Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Win 11/Office 2021/Backlit KB/1Yr ADP Free/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00FKIN  ","33,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Nzg1MzY0MjUwNDM5NzU4OjE3Mjg4Mzk2OTI6c3BfbXRmOjMwMDI4NjIyMTcwNjUzMjo6MDo6&url=%2FLenovo-IdeaPad-i3-1215U-Backlit-82RJ00FKIN%2Fdp%2FB0DB1WCBBS%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1728839692%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
10,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","15,650",https://amazon.in//gp/bestsellers/amazon-renewed/95093750031/ref=sr_bs_12_95093750031_1
11,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","32,990",https://amazon.in//Acer-5-5625U-Premium-Windows-AL15-41/dp/B0DG2GCTD7/ref=sr_1_14?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-14
12,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop  ","33,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Nzg1MzY0MjUwNDM5NzU4OjE3Mjg4Mzk2OTI6c3BfYXRmOjMwMDA2ODcxNjY4MTEzMjo6MDo6&url=%2FDell-Smartchoice-i3-1215U-Processor-Spill-Resistant%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1728839692%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
13,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop(Win11Home/12GB RAM/512GB SSD/Intel UHD Graphics/MSO)AL15-52H, 39.62cm(15.6"") FHD IPS Display, Backlit Keyboard, Pure Silver, 1.7KG  ","39,990",https://amazon.in//Acer-i5-12450H-Win11Home-Graphics-AL15-52H/dp/B0DDL4CPZ5/ref=sr_1_15?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-15
14,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg  ","47,990",https://amazon.in//Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_16?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-16
15,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN  ","59,990",https://amazon.in//Lenovo-IdeaPad-i7-13620H-38-1cm-83EM008GIN/dp/B0D6NCVQZQ/ref=sr_1_17?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-17
16,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_18?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-18
17,"ASUS X515, 15.6"" FHD (1920 x 1080) 16:9, 60Hz 200nits, Intel Pentium Gold 7505, Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home/37WHr Battery/Transparent Silver/1.80 kg), X1500EA-EJ122WS  ","23,990",https://amazon.in//ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ122WS/dp/B0CZ3K42DX/ref=sr_1_19?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-19
18,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey  ","59,990",https://amazon.in//gp/bestsellers/computers/22963796031/ref=sr_bs_19_22963796031_1
19,"Lenovo LOQ 2024 Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/1Yr ADP Free/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS0098IN  ","69,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Nzg1MzY0MjUwNDM5NzU4OjE3Mjg4Mzk2OTI6c3BfYnRmOjMwMDM0MTk2OTg4MDAzMjo6MDo6&url=%2FLenovo-i5-12450HX-300Nits-Graphics-83GS0098IN%2Fdp%2FB0DB218DK7%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1728839692%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
20,"Acer ALG Gaming Laptop 12th Gen Intel Core i5 Processor (16GB RAM/512GB SSD/6GB RTX3050/144Hz/Win11Home/Wifi 6) AL15G-52, 39.62cm (15.6"") Full HD, Premium Metal Body, Steel Gray, 1.99KG  ","57,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Nzg1MzY0MjUwNDM5NzU4OjE3Mjg4Mzk2OTI6c3BfYnRmOjMwMDI4MTUwMDA4OTIzMjo6MDo6&url=%2FAcer-Processor-RTX3050-Win11Home-AL15G-52%2Fdp%2FB0D32TY16C%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1728839692%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
